"","number_in_list","fold_enrichment","fdr","expected","number_in_reference","pValue","plus_minus","term.id","term.label"
"1",67,3.81789201036063,2.37104713438528e-17,17.548951048951,956,1.55549900569788e-21,"+","GO:0007155","cell adhesion"
"2",64,3.86956291950743,5.40133359916265e-17,16.5393356643357,901,7.08696923067985e-21,"+","GO:0016477","cell migration"
"3",105,2.5547119249665,1.73879088141992e-16,41.1005244755245,2239,3.42214304550269e-20,"+","GO:0009653","anatomical structure morphogenesis"
"4",69,3.47720364741641,2.34722510808834e-16,19.8435314685315,1081,6.15948332503664e-20,"+","GO:0048870","cell motility"
"5",65,3.64670688048649,2.29890758738853e-16,17.8243006993007,971,7.54086330574208e-20,"+","GO:0048646","anatomical structure formation involved in morphogenesis"
"6",121,2.22239347525929,4.29475709289693e-15,54.4458041958042,2966,1.69051647033928e-18,"+","GO:0051239","regulation of multicellular organismal process"
"7",37,5.8423740510697,1.05223364805444e-14,6.33304195804196,345,4.83214297473007e-18,"+","GO:0006935","chemotaxis"
"8",173,1.80164040381972,1.10604558367629e-14,96.0236013986014,5231,5.80487087148875e-18,"+","GO:0048856","anatomical structure development"
"9",37,5.80870042541512,9.92558839517406e-15,6.36975524475525,347,5.86041432503881e-18,"+","GO:0042330","taxis"
"10",105,2.33660130718954,3.63587287827562e-14,44.9370629370629,2448,2.38527381635874e-17,"+","GO:0050793","regulation of developmental process"
"11",46,4.39632414369256,4.08715855139417e-14,10.4632867132867,570,2.94946821920461e-17,"+","GO:2000147","positive regulation of cell motility"
"12",37,5.47722567287785,5.21075324125215e-14,6.75524475524476,368,4.10214779866337e-17,"+","GO:0040011","locomotion"
"13",46,4.28359788359788,9.39956104710546e-14,10.7386363636364,585,8.01642023304933e-17,"+","GO:0040017","positive regulation of locomotion"
"14",202,1.63145892901267,9.33475498058791e-14,123.815559440559,6745,8.5735465281264e-17,"+","GO:0032501","multicellular organismal process"
"15",100,2.37887294655854,8.7435084991413e-14,42.0367132867133,2290,8.60412172716129e-17,"+","GO:0009605","response to external stimulus"
"16",44,4.41427694466369,1.25228563494231e-13,9.96765734265734,543,1.31447681946316e-16,"+","GO:0030335","positive regulation of cell migration"
"17",49,3.90253411306043,2.75054182325561e-13,12.5559440559441,684,3.06758584237653e-16,"+","GO:0035239","tube morphogenesis"
"18",58,3.3612968591692,3.32494192722963e-13,17.2552447552448,940,3.92632386604562e-16,"+","GO:0030334","regulation of cell migration"
"19",60,3.26857142857143,3.29392148814567e-13,18.3566433566434,1000,4.10578680540364e-16,"+","GO:2000145","regulation of cell motility"
"20",179,1.69911798139712,3.63605801919025e-13,105.348776223776,5739,4.77079055197829e-16,"+","GO:0032502","developmental process"
"21",61,3.18910520062152,5.11308303022783e-13,19.1276223776224,1042,7.04420019909365e-16,"+","GO:0040012","regulation of locomotion"
"22",83,2.5559772806805,6.11107903404283e-13,32.4729020979021,1769,8.82003140778996e-16,"+","GO:0009888","tissue development"
"23",56,3.37090239410681,7.94077892744045e-13,16.6127622377622,905,1.19817565657108e-15,"+","GO:0035295","tube development"
"24",27,6.84119601328904,2.29302996672145e-12,3.94667832167832,215,3.61036011292493e-15,"+","GO:0060326","cell chemotaxis"
"25",50,3.45223006819965,1.16944320282842e-11,14.4833916083916,789,1.91800039826218e-14,"+","GO:0030155","regulation of cell adhesion"
"26",67,2.72992128788688,2.54650281450717e-11,24.5428321678322,1337,4.34357233990595e-14,"+","GO:0051094","positive regulation of developmental process"
"27",41,3.9813258636788,2.88037716448211e-11,10.2980769230769,561,5.10202607367428e-14,"+","GO:0006954","inflammatory response"
"28",73,2.55411811481176,4.03361335140909e-11,28.5812937062937,1557,7.40937963914285e-14,"+","GO:0044419","biological process involved in interspecies interaction between organisms"
"29",40,4.00560224089636,4.57505293407993e-11,9.98601398601399,544,8.70409598427593e-14,"+","GO:0098609","cell-cell adhesion"
"30",134,1.84152611599635,4.99830247085318e-11,72.7657342657343,3964,9.83724162734339e-14,"+","GO:0007275","multicellular organism development"
"31",21,8.23021582733813,5.46369209182878e-11,2.55157342657343,139,1.11116220459681e-13,"+","GO:0097529","myeloid leukocyte migration"
"32",17,10.6447728516694,1.56029841214248e-10,1.59702797202797,87,3.27557234065205e-13,"+","GO:0071621","granulocyte chemotaxis"
"33",18,9.70862800565771,1.61030009109908e-10,1.85402097902098,101,3.48618401930523e-13,"+","GO:0097530","granulocyte migration"
"34",67,2.59964726631393,1.92199848106801e-10,25.7727272727273,1404,4.28707920726316e-13,"+","GO:2000026","regulation of multicellular organismal development"
"35",21,7.62666666666667,2.25281499301531e-10,2.7534965034965,150,5.17276945191471e-13,"+","GO:0030595","leukocyte chemotaxis"
