"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"WFDC2",1.90097082567493e-16,-6.57655841644431,0.029,0.755,5.6333369448051e-12,"WFDC2"
"EPCAM",2.36535175248026e-16,-6.49364321523221,0.014,0.735,7.0094833833e-12,"EPCAM"
"KRT19",7.87324450536068e-16,-7.11311882836577,0,0.694,2.33315727671858e-11,"KRT19"
"AGR2",2.7798260520088e-15,-6.50668750151866,0,0.673,8.23773652252289e-11,"AGR2"
"MUC1",9.61871488429416e-15,-5.79728106418228,0,0.653,2.85040996881173e-10,"MUC1"
"KRT7",1.01123169853759e-14,-6.6779439506097,0.014,0.673,2.9966840154463e-10,"KRT7"
"TREM1",2.67785932442049e-14,-5.5761466566376,0.086,0.755,7.93556832198767e-10,"TREM1"
"SERPINA1",7.32607734316956e-14,-5.20098053310978,0.243,0.898,2.17100975987487e-09,"SERPINA1"
"TNNT1",9.09776230141597e-14,-5.36866236135396,0.029,0.653,2.69603088040161e-09,"TNNT1"
"C19orf33",1.03910138720006e-13,-5.15755674301496,0.057,0.694,3.07927305082867e-09,"C19orf33"
"CLDN4",1.11939026461427e-13,-6.10066321171532,0.014,0.633,3.31720111015794e-09,"CLDN4"
"ADM",1.31341082604854e-13,-5.13124330977788,0.143,0.816,3.89216164191226e-09,"ADM"
"MAL2",1.45287803035017e-13,-5.88895286089175,0.014,0.633,4.30545875513971e-09,"MAL2"
"SLPI",1.51705371884851e-13,-6.18916563582673,0.029,0.653,4.49563699043566e-09,"SLPI"
"PLOD2",1.7883782222467e-13,-4.79506965417896,0.014,0.633,5.29968002380588e-09,"PLOD2"
"ELF3",2.057313099947e-13,-5.93973006302766,0.029,0.653,6.09664164038293e-09,"ELF3"
"CXCL1",2.19969575658471e-13,-6.03344114568877,0.014,0.633,6.51857840506313e-09,"CXCL1"
"GPRC5A",3.54302159573776e-13,-5.37279638376252,0,0.592,1.04993901968093e-08,"GPRC5A"
"SFTA3",3.54302159573776e-13,-5.27033307741054,0,0.592,1.04993901968093e-08,"SFTA3"
"TMEM54",5.46767586889573e-13,-4.72522959408632,0.014,0.612,1.62029106698856e-08,"TMEM54"
"PDLIM4",5.51683255307583e-13,-4.90632119257383,0.086,0.735,1.63485815877849e-08,"PDLIM4"
"TGM2",5.94445712370606e-13,-5.50781939313439,0.1,0.735,1.76158042403905e-08,"TGM2"
"C15orf48",6.70749839759851e-13,-4.39856642405832,0.286,0.857,1.98770007514434e-08,"C15orf48"
"TNFRSF12A",7.84017032539845e-13,-4.7535704761081,0.143,0.776,2.32335607422858e-08,"TNFRSF12A"
"MGST1",8.58222590723759e-13,-5.07402142281422,0.1,0.735,2.54325682535079e-08,"MGST1"
"SLC34A2",1.13489828994885e-12,-5.84064330475218,0,0.571,3.36315759243442e-08,"SLC34A2"
"SMIM22",1.14811804802221e-12,-5.71574220260559,0.014,0.592,3.40233302350903e-08,"SMIM22"
"VCAN",1.19509984585297e-12,-6.21701571098369,0.057,0.673,3.54155888320068e-08,"VCAN"
"AQP9",2.36726516634757e-12,-5.61894029881542,0.029,0.612,7.0151535939544e-08,"AQP9"
"PLS3",2.61310355669438e-12,-4.34944736870309,0.029,0.612,7.74367107990812e-08,"PLS3"
"CXCL8",2.70230504171465e-12,-4.70832667904237,0.314,0.898,8.00801076061719e-08,"CXCL8"
"TACSTD2",3.00291135256198e-12,-5.98773422316328,0.057,0.633,8.89882750218218e-08,"TACSTD2"
"LCN2",3.56897355050164e-12,-5.05733831422031,0,0.551,1.05762962195565e-07,"LCN2"
