"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"LINC00402",4.05149746150324e-11,3.07135967117673,0.692,0.28,1.20062075774187e-06,"LINC00402"
"HSPA1B",1.48642953115073e-10,2.4419448249765,0.933,0.817,4.40488527261209e-06,"HSPA1B"
"CHRM3-AS2",2.33464839667728e-10,2.76272215987638,0.717,0.341,6.91849705871345e-06,"CHRM3-AS2"
"ANKRD55",1.72953583781925e-09,2.72022239461046,0.592,0.195,5.12530650179356e-05,"ANKRD55"
"MDS2",5.33270675367704e-09,2.59390975344684,0.633,0.244,0.000158029431938465,"MDS2"
"RP11-664D1.1",7.65119665587656e-09,2.83084062578879,0.683,0.341,0.000226735561700246,"RP11-664D1.1"
"LEF1",7.84141003960275e-09,2.28350290422245,0.892,0.634,0.000232372345113588,"LEF1"
"RP11-18H21.1",3.4778566181038e-08,2.28893972712019,0.8,0.5,0.00103062803020888,"RP11-18H21.1"
"CD40LG",7.66291265513219e-08,2.18473928157063,0.792,0.549,0.00227082753622187,"CD40LG"
"IGHG3",1.22322436203607e-07,2.23437337453911,0.908,0.744,0.00362490307445769,"IGHG3"
"RP11-326C3.12",1.75563539706662e-07,2.83969486871254,0.517,0.195,0.00520264993566723,"RP11-326C3.12"
"PLCG2",1.9425385305296e-07,2.71459736755124,0.867,0.756,0.00575651868137141,"PLCG2"
"NELL2",2.42849264804672e-07,2.54312357692943,0.733,0.402,0.00719659511322166,"NELL2"
"PPIAL4G",3.08461641554644e-07,1.47196554755457,0.375,0.061,0.00914095228583033,"PPIAL4G"
