"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"CHRM3-AS2",6.06506084027628e-20,2.77229297827761,0.973,0.532,1.79732012940747e-15,"CHRM3-AS2"
"HSPA1B",1.6281102432531e-18,2.35042269634578,0.991,0.974,4.82474189485622e-14,"HSPA1B"
"LEF1",7.76888430874504e-16,2.30294953454809,0.973,0.844,2.30223117605351e-11,"LEF1"
"CD40LG",1.14249691923951e-15,2.14959659931584,0.982,0.779,3.38567537047437e-11,"CD40LG"
"LINC00402",1.26390377122605e-15,2.49783007065161,0.864,0.403,3.74545243565127e-11,"LINC00402"
"RP11-664D1.1",3.17087378947389e-15,2.39223304445146,0.909,0.532,9.39656738772692e-11,"RP11-664D1.1"
"LINC01550",1.35117282882508e-14,2.16665362100449,0.973,0.805,4.00406556094023e-10,"LINC01550"
"ANKRD55",2.92244938776817e-14,2.61381162042878,0.818,0.312,8.6603865157122e-10,"ANKRD55"
"TRABD2A",4.69142984711977e-14,2.04156821330331,0.964,0.818,1.39025832089547e-09,"TRABD2A"
"MDS2",9.66656495632716e-14,2.51323556621143,0.873,0.442,2.86458985915799e-09,"MDS2"
"TRAT1",1.25343764236886e-13,1.79996690288801,0.991,0.896,3.71443710939587e-09,"TRAT1"
"SIDT1-AS1",1.30681241249517e-13,2.1486389006183,0.936,0.623,3.8726079031882e-09,"SIDT1-AS1"
"RP11-18H21.1",1.60410248732923e-13,2.04861267989357,0.945,0.753,4.75359731095144e-09,"RP11-18H21.1"
"GCNT4",3.90534724456356e-13,2.46976095852555,0.782,0.338,1.15731060245397e-08,"GCNT4"
"TMEM204",1.23200662081702e-12,2.17475330210388,0.927,0.649,3.65092842012915e-08,"TMEM204"
"MAL",1.57916351270715e-12,1.85227118429926,0.964,0.831,4.67969315355637e-08,"MAL"
"TCF7",1.86596126396054e-12,1.64874777146264,0.991,0.961,5.52958960962066e-08,"TCF7"
"NELL2",4.22430234739662e-12,1.77112834029208,0.955,0.701,1.25182975762751e-07,"NELL2"
"PLCG2",6.42778758119325e-12,2.49541216812093,0.982,0.974,1.90481057181081e-07,"PLCG2"
"CAMK4",8.04636634934537e-12,1.78333314628905,0.945,0.779,2.38446020396501e-07,"CAMK4"
"SPNS3",8.43657012683987e-12,1.75443259344815,0.909,0.701,2.50009319138773e-07,"SPNS3"
