




Analysis Type:	PANTHER Overrepresentation Test (Released 20240226)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20592)	upload_1 (341)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of multicellular organismal process (GO:0051239)	2966	114	49.12	+	2.32	5.68E-19	8.65E-15
cell migration (GO:0016477)	901	57	14.92	+	3.82	1.91E-18	9.69E-15
cell adhesion (GO:0007155)	956	59	15.83	+	3.73	1.42E-18	1.08E-14
regulation of cell motility (GO:2000145)	1000	59	16.56	+	3.56	1.18E-17	4.49E-14
regulation of cell migration (GO:0030334)	940	56	15.57	+	3.60	5.84E-17	1.78E-13
regulation of locomotion (GO:0040012)	1042	59	17.26	+	3.42	7.90E-17	2.01E-13
cell motility (GO:0048870)	1081	60	17.90	+	3.35	1.05E-16	2.28E-13
positive regulation of cell motility (GO:2000147)	570	42	9.44	+	4.45	4.84E-16	9.22E-13
anatomical structure morphogenesis (GO:0009653)	2239	90	37.08	+	2.43	8.38E-16	1.42E-12
positive regulation of locomotion (GO:0040017)	585	42	9.69	+	4.34	1.21E-15	1.84E-12
positive regulation of cell migration (GO:0030335)	543	40	8.99	+	4.45	2.58E-15	3.57E-12
biological process involved in interspecies interaction between organisms (GO:0044419)	1557	71	25.78	+	2.75	3.11E-15	3.95E-12
regulation of developmental process (GO:0050793)	2448	92	40.54	+	2.27	1.74E-14	2.04E-11
cell junction organization (GO:0034330)	541	38	8.96	+	4.24	6.08E-14	6.62E-11
cell-cell adhesion (GO:0098609)	544	38	9.01	+	4.22	7.24E-14	7.35E-11
response to external stimulus (GO:0009605)	2290	87	37.92	+	2.29	9.01E-14	8.59E-11
anatomical structure development (GO:0048856)	5231	149	86.62	+	1.72	1.45E-13	1.30E-10
response to stimulus (GO:0050896)	8182	202	135.49	+	1.49	3.07E-13	2.60E-10
response to stress (GO:0006950)	3419	111	56.62	+	1.96	3.50E-13	2.81E-10
regulation of cell adhesion (GO:0030155)	789	45	13.07	+	3.44	4.35E-13	3.32E-10
leukocyte chemotaxis (GO:0030595)	150	20	2.48	+	8.05	7.12E-13	5.17E-10
developmental process (GO:0032502)	5739	157	95.04	+	1.65	7.53E-13	5.22E-10
granulocyte migration (GO:0097530)	101	17	1.67	+	10.16	8.07E-13	5.35E-10
granulocyte chemotaxis (GO:0071621)	87	16	1.44	+	11.11	9.21E-13	5.40E-10
anatomical structure formation involved in morphogenesis (GO:0048646)	971	50	16.08	+	3.11	9.00E-13	5.49E-10
inflammatory response (GO:0006954)	561	37	9.29	+	3.98	8.96E-13	5.69E-10
