"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"CXCL8",4.11272703381877e-14,-6.00736790482513,0.08,0.725,1.21876552920185e-09,"CXCL8"
"MMP14",1.0966719565923e-13,-5.6608057391283,0.013,0.608,3.24987767616563e-09,"MMP14"
"SDC4",2.42001183432944e-13,-5.17448477279029,0.027,0.627,7.17146306985186e-09,"SDC4"
"MGST1",2.91461435583566e-13,-6.27006530106802,0.013,0.588,8.63716818208338e-09,"MGST1"
"IFI27",5.47202045696937e-13,-4.08762867591611,0.133,0.745,1.6215785422183e-08,"IFI27"
"KRT19",7.59211508161662e-13,-6.98643516538572,0,0.549,2.24984738328627e-08,"KRT19"
"RNASE1",7.59211508161662e-13,-6.93791712860176,0,0.549,2.24984738328627e-08,"RNASE1"
"SPP1",9.7122887251751e-13,-5.92547401734121,0.08,0.667,2.87813964081839e-08,"SPP1"
"CCL2",1.57423061923529e-12,-6.31039379138812,0.013,0.569,4.66507501704186e-08,"CCL2"
"SERPINA1",2.30056701729176e-12,-5.78228059835306,0.08,0.647,6.8175002990424e-08,"SERPINA1"
"C15orf48",2.60412311278681e-12,-6.06350655324217,0.067,0.627,7.71705843243242e-08,"C15orf48"
"CXCL2",3.98927907603626e-12,-5.00122873632698,0.093,0.667,1.18218296139259e-07,"CXCL2"
"PLAUR",4.61117654502821e-12,-4.64802875339756,0.107,0.706,1.36647605735366e-07,"PLAUR"
"ADAM9",5.56203034262031e-12,-4.91337382731463,0.04,0.588,1.6482520717321e-07,"ADAM9"
"VEGFA",5.81716409653232e-12,-5.69922452823678,0.027,0.569,1.72385840836639e-07,"VEGFA"
"IL1B",6.0064406037267e-12,-5.3649095142263,0.053,0.627,1.77994860850837e-07,"IL1B"
"FAM129B",7.4418251178586e-12,-5.42439417739168,0,0.51,2.20531045542622e-07,"FAM129B"
"PDLIM4",7.4418251178586e-12,-5.05695316276236,0,0.51,2.20531045542622e-07,"PDLIM4"
"WFDC2",7.4418251178586e-12,-6.8434637796437,0,0.51,2.20531045542622e-07,"WFDC2"
"IER3",1.01188649426717e-11,-4.36489643818667,0.147,0.686,2.99862443711134e-07,"IER3"
"KRT8",1.18182047240917e-11,-5.78366212279373,0.013,0.529,3.50220678793734e-07,"KRT8"
"TREM1",1.92322015154219e-11,-5.56039421341013,0.027,0.549,5.69927059708013e-07,"TREM1"
"CEACAM6",2.27160484290962e-11,-6.60029348464414,0,0.49,6.73167379147838e-07,"CEACAM6"
"MUC1",2.27160484290962e-11,-6.13644861409749,0,0.49,6.73167379147838e-07,"MUC1"
"SPRED1",2.41465330809491e-11,-4.12035003506041,0.027,0.549,7.15558361320846e-07,"SPRED1"
"PLTP",3.15839010508779e-11,-4.99282970146193,0.027,0.529,9.35957323741716e-07,"PLTP"
