"","number_in_list","fold_enrichment","fdr","expected","number_in_reference","pValue","plus_minus","term.id","term.label"
"1",31,4.28855895196507,2.54842382167448e-09,7.22853535353535,2290,1.67186500142654e-13,"+","GO:0009605","response to external stimulus"
"2",24,5.26537396121884,3.0568834732439e-08,4.55808080808081,1444,4.01086856031476e-12,"+","GO:0006952","defense response"
"3",12,14.7348837209302,1.31658013444678e-07,0.81439393939394,258,2.59118310263095e-11,"+","GO:0006959","humoral immune response"
"4",34,3.15039485229599,1.57607851766294e-07,10.792297979798,3419,4.1358748741401e-11,"+","GO:0006950","response to stress"
"5",13,11.9373913043478,1.49539777668285e-07,1.08901515151515,345,4.90519509506939e-11,"+","GO:0006935","chemotaxis"
"6",13,11.8685878962536,1.33883673741685e-07,1.09532828282828,347,5.26997338089687e-11,"+","GO:0042330","taxis"
"7",13,11.1913043478261,2.37441648482888e-07,1.16161616161616,368,1.09039660131222e-10,"+","GO:0040011","locomotion"
"8",21,4.81389290882779,1.32065663506323e-06,4.36237373737374,1382,6.93121634881971e-10,"+","GO:0051707","response to other organism"
"9",21,4.80346570397112,1.22105718489521e-06,4.37184343434343,1385,7.20954842488806e-10,"+","GO:0043207","response to external biotic stimulus"
"10",22,4.47630057803468,1.435682188739e-06,4.91477272727273,1557,9.4186327411861e-10,"+","GO:0044419","biological process involved in interspecies interaction between organisms"
"11",21,4.6555633310007,1.7596746086532e-06,4.51073232323232,1429,1.26985637310143e-09,"+","GO:0009607","response to biotic stimulus"
"12",18,5.57964774951076,1.98911945348829e-06,3.2260101010101,1022,1.56592753669616e-09,"+","GO:0098542","defense response to other organism"
"13",14,7.90588235294118,2.10671262558198e-06,1.77083333333333,561,1.79671089238115e-09,"+","GO:0006954","inflammatory response"
"14",7,27.3777777777778,7.05579996765063e-06,0.255681818181818,81,6.48043033176598e-09,"+","GO:0030593","neutrophil chemotaxis"
"15",7,25.4896551724138,1.09038521681899e-05,0.274621212121212,87,1.07300257510234e-08,"+","GO:0071621","granulocyte chemotaxis"
"16",7,24.104347826087,1.51376688231458e-05,0.29040404040404,92,1.58894378514946e-08,"+","GO:1990266","neutrophil migration"
"17",16,5.53362445414847,1.54383156052846e-05,2.89141414141414,916,1.72178288584818e-08,"+","GO:0140546","defense response to symbiont"
"18",28,2.99069453809845,1.71230009489918e-05,9.36237373737374,2966,2.0220036546733e-08,"+","GO:0051239","regulation of multicellular organismal process"
"19",8,16.896,1.8730374429283e-05,0.473484848484848,150,2.33469208263713e-08,"+","GO:0030595","leukocyte chemotaxis"
"20",9,13.2613953488372,1.8310869597153e-05,0.678661616161616,215,2.40252832082307e-08,"+","GO:0060326","cell chemotaxis"
"21",48,1.85851869958445,2.15714868929845e-05,25.8270202020202,8182,2.9718639687245e-08,"+","GO:0050896","response to stimulus"
"22",7,21.9564356435644,2.11393989876027e-05,0.318813131313131,101,3.05101868219681e-08,"+","GO:0097530","granulocyte migration"
"23",20,3.78494623655914,7.5572072242457e-05,5.28409090909091,1674,1.14029893169095e-07,"+","GO:0006955","immune response"
"24",14,5.6212927756654,8.26061387704616e-05,2.4905303030303,789,1.30062804598247e-07,"+","GO:0030155","regulation of cell adhesion"
"25",13,5.97735849056604,0.000118633672498495,2.17487373737374,689,1.94570741485427e-07,"+","GO:0009617","response to bacterium"
"26",30,2.51428571428571,0.00015120056308316,11.9318181818182,3780,2.57902948249175e-07,"+","GO:0042221","response to chemical"
"27",23,3.14611398963731,0.000153879088490824,7.31060606060606,2316,2.72566777488175e-07,"+","GO:0002376","immune system process"
"28",7,15.9539568345324,0.000150003852724218,0.438762626262626,139,2.75543388852463e-07,"+","GO:0097529","myeloid leukocyte migration"
"29",7,14.784,0.000242975592225224,0.473484848484848,150,4.62264132685922e-07,"+","GO:0019730","antimicrobial humoral response"
"30",14,4.92253052164262,0.000329302955904117,2.84406565656566,901,6.48106585129142e-07,"+","GO:0016477","cell migration"
"31",13,5.3555266579974,0.000333160255350641,2.42739898989899,769,6.7755480652561e-07,"+","GO:0045087","innate immune response"
"32",9,8.8822429906542,0.000343844463299273,1.01325757575758,321,7.2184103034683e-07,"+","GO:0032496","response to lipopolysaccharide"
"33",10,7.35034802784223,0.000430164879434452,1.3604797979798,431,9.31276062542603e-07,"+","GO:0048514","blood vessel morphogenesis"
"34",15,4.3959296947271,0.000450519848288415,3.41224747474747,1081,1.00489895964089e-06,"+","GO:0048870","cell motility"
"35",8,10.2193548387097,0.00048074835486896,0.782828282828283,248,1.10386357150256e-06,"+","GO:0050900","leukocyte migration"
"36",9,8.41061946902655,0.000480640864749788,1.07007575757576,339,1.13514866699419e-06,"+","GO:0002237","response to molecule of bacterial origin"
"37",9,7.48346456692913,0.00122074756572537,1.20265151515152,381,2.96317391142418e-06,"+","GO:2001233","regulation of apoptotic signaling pathway"
"38",3,95.04,0.00142232314069482,0.0315656565656566,10,3.54577703512453e-06,"+","GO:0098883","synapse pruning"
