"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"KRT19",1.36172733404371e-18,-7.26577195649503,0,0.695,4.03534278170512e-14,"KRT19"
"WFDC2",4.43262293968847e-18,-7.10220343257901,0.012,0.695,1.31356348194728e-13,"WFDC2"
"EPCAM",3.0869776686183e-17,-6.82809298022152,0.048,0.712,9.14794962318348e-13,"EPCAM"
"MUC1",1.12329150815734e-16,-5.98355074872965,0.036,0.695,3.32876205527347e-12,"MUC1"
"AGR2",1.82939221855192e-16,-6.91112564855847,0,0.627,5.42122090045676e-12,"AGR2"
"C19orf33",2.10584939051855e-16,-6.03738258507398,0.024,0.661,6.24047408386268e-12,"C19orf33"
"S100A16",5.7870326933933e-16,-6.09311061950665,0.072,0.729,1.71492926836017e-11,"S100A16"
"AP1M2",5.97814546469295e-16,-4.62793783794472,0,0.61,1.77156362700711e-11,"AP1M2"
"PDZK1IP1",5.97814546469295e-16,-5.45389102681277,0,0.61,1.77156362700711e-11,"PDZK1IP1"
"SFTA3",5.97814546469295e-16,-5.87887193467066,0,0.61,1.77156362700711e-11,"SFTA3"
"MAL2",7.35304283506921e-16,-6.05303490834122,0.012,0.627,2.17900071374441e-11,"MAL2"
"SFTA2",7.65775542429288e-16,-6.05621786732155,0.084,0.712,2.26929924243495e-11,"SFTA2"
"NKX2-1",1.92273341754271e-15,-5.35169322853391,0,0.593,5.69782820954608e-11,"NKX2-1"
"CLDN4",2.05830394486482e-15,-6.116949854117,0.012,0.61,6.0995779102124e-11,"CLDN4"
"S100A14",2.14920309337449e-15,-6.47124552507158,0.012,0.61,6.36894844690597e-11,"S100A14"
"CXCL1",2.34237310987143e-15,-5.29303885759181,0.048,0.661,6.94138847379299e-11,"CXCL1"
"MALL",2.34302231766465e-15,-5.82439803232988,0.012,0.61,6.94331233616743e-11,"MALL"
"GOLM1",3.8219912121851e-15,-5.5415142906862,0.048,0.661,1.13260887581893e-10,"GOLM1"
"CEACAM6",6.0879231261191e-15,-6.84570542388479,0,0.576,1.80409513919413e-10,"CEACAM6"
"FAM83A",6.0879231261191e-15,-4.53209807269675,0,0.576,1.80409513919413e-10,"FAM83A"
"SFN",6.0879231261191e-15,-5.40132374464017,0,0.576,1.80409513919413e-10,"SFN"
"TMEM54",6.85924243706816e-15,-4.9961125076203,0.048,0.644,2.03266790380078e-10,"TMEM54"
"KRT7",8.9166431501399e-15,-6.63981772696251,0.036,0.627,2.64235803111246e-10,"KRT7"
"SMIM22",2.40828391853152e-14,-5.79823112670733,0.024,0.593,7.1367085641763e-10,"SMIM22"
"SLPI",2.72891488867905e-14,-6.01531197312179,0.048,0.627,8.0868663811115e-10,"SLPI"
"TACSTD2",4.0226934329824e-14,-4.03526154083657,0.06,0.644,1.19208497193e-09,"TACSTD2"
"SPP1",4.81240767792353e-14,-5.36273714556179,0.205,0.797,1.42610889127586e-09,"SPP1"
"VWA1",4.85408743835889e-14,-5.13385337706552,0.012,0.576,1.43846027148327e-09,"VWA1"
"CXCL17",5.82878835676168e-14,-5.82031225618555,0,0.542,1.72730314164276e-09,"CXCL17"
"DDAH1",5.82878835676168e-14,-4.43525127983017,0,0.542,1.72730314164276e-09,"DDAH1"
"FOXA1",5.82878835676168e-14,-3.67688428278274,0,0.542,1.72730314164276e-09,"FOXA1"
"LCN2",5.82878835676168e-14,-5.40216767943459,0,0.542,1.72730314164276e-09,"LCN2"
"PCDH7",5.82878835676168e-14,-3.50518530257294,0,0.542,1.72730314164276e-09,"PCDH7"
"SLC34A2",5.82878835676168e-14,-6.50230145893033,0,0.542,1.72730314164276e-09,"SLC34A2"
"TNNT1",5.82878835676168e-14,-5.15350185560243,0,0.542,1.72730314164276e-09,"TNNT1"
"OSMR",7.2064190122467e-14,-4.97409714184016,0.012,0.559,2.13555021008919e-09,"OSMR"
"GPRC5A",9.66993965128039e-14,-5.2200334344637,0.012,0.559,2.86558991626043e-09,"GPRC5A"
"KIAA1522",1.45712709788169e-13,-4.1286841047942,0.024,0.576,4.31805044186261e-09,"KIAA1522"
"PLOD2",1.47037844025202e-13,-5.13921691187454,0.036,0.593,4.35731946984283e-09,"PLOD2"
"CCL2",1.57455061879525e-13,-5.54314080610635,0.133,0.712,4.66602330373784e-09,"CCL2"
"FOLR1",1.76337637500747e-13,-4.95137611111596,0,0.525,5.22558954969714e-09,"FOLR1"
"PRSS8",1.76337637500747e-13,-4.58571923006491,0,0.525,5.22558954969714e-09,"PRSS8"
"SFTPA2",1.76337637500747e-13,-5.41905328746037,0,0.525,5.22558954969714e-09,"SFTPA2"
"SLC22A31",1.76337637500747e-13,-5.24738937161956,0,0.525,5.22558954969714e-09,"SLC22A31"
"TSPAN1",1.76337637500747e-13,-5.14242228021648,0,0.525,5.22558954969714e-09,"TSPAN1"
"LURAP1L",2.15959714963595e-13,-4.25046110148832,0.012,0.542,6.39975019323119e-09,"LURAP1L"
"ELF3",2.27216311318242e-13,-6.07615507673188,0.036,0.576,6.73332816960479e-09,"ELF3"
"MGST1",2.48870588435498e-13,-5.70569161186288,0.145,0.712,7.37503101769755e-09,"MGST1"
"DCBLD2",2.93624540327241e-13,-5.00179108295411,0.072,0.661,8.70126962805745e-09,"DCBLD2"
"LAMB3",3.7432825095621e-13,-5.06358963099395,0.048,0.593,1.10928433888363e-08,"LAMB3"
"TMC5",3.96703525774822e-13,-5.57720007023795,0.024,0.559,1.17559122828111e-08,"TMC5"
"RAI14",4.32195471677937e-13,-4.12961151160192,0.048,0.61,1.2807680607704e-08,"RAI14"
"CAPN8",5.25684109997909e-13,-4.8057458228455,0,0.508,1.5578122915678e-08,"CAPN8"
"CCDC64B",5.25684109997909e-13,-3.54263999315472,0,0.508,1.5578122915678e-08,"CCDC64B"
"PDLIM4",5.92575122310681e-13,-5.24324896851389,0.072,0.644,1.75603711745547e-08,"PDLIM4"
"MDK",6.85641259561019e-13,-4.64413326897679,0.301,0.831,2.03182930858312e-08,"MDK"
"C8orf4",8.37138841645537e-13,-6.50683272744821,0.024,0.542,2.48077724333238e-08,"C8orf4"
"CREB3L1",8.87671534771019e-13,-4.33240136053119,0.012,0.525,2.63052582614044e-08,"CREB3L1"
"SFTPB",8.87671534771019e-13,-5.79085839945281,0.012,0.525,2.63052582614044e-08,"SFTPB"
"MET",9.80076499388336e-13,-4.62592049511978,0.036,0.576,2.90435869828739e-08,"MET"
"PRSS22",9.97792138418421e-13,-4.00671927880014,0.024,0.559,2.95685722298915e-08,"PRSS22"
"YAP1",1.14520339274812e-12,-4.49474173340128,0.036,0.576,3.39369573406978e-08,"YAP1"
"PPIC",1.24645968392251e-12,-4.74435139514442,0.12,0.678,3.69375862733596e-08,"PPIC"
"EVA1A",1.54461989212748e-12,-4.32578333303823,0,0.492,4.57732658833058e-08,"EVA1A"
"SPDEF",1.54461989212748e-12,-4.81492481725263,0,0.492,4.57732658833058e-08,"SPDEF"
"TMPRSS4",1.54461989212748e-12,-5.0920503718421,0,0.492,4.57732658833058e-08,"TMPRSS4"
"CXCL8",1.75117737418362e-12,-4.4315981265981,0.265,0.847,5.18943903065575e-08,"CXCL8"
"P4HA2",1.7661106772385e-12,-4.17662651056644,0.06,0.61,5.23369238092856e-08,"P4HA2"
"TM4SF1",1.95050733183399e-12,-5.64927445427566,0.084,0.627,5.78013342715684e-08,"TM4SF1"
"FXYD3",2.19720719838396e-12,-5.87618253706517,0.036,0.542,6.51120381169103e-08,"FXYD3"
"CDH1",2.55525723666125e-12,-5.11624295497346,0.084,0.61,7.57224929512195e-08,"CDH1"
"TJP1",2.59072769594915e-12,-3.91397524166701,0.036,0.559,7.67736245417571e-08,"TJP1"
"IFI27",3.03163999405694e-12,-4.37443769376651,0.337,0.864,8.98396195838833e-08,"IFI27"
"VSTM2L",3.03403967981791e-12,-3.70029977351688,0.012,0.508,8.99107318717239e-08,"VSTM2L"
"DHCR24",3.09269775874427e-12,-4.95807128034129,0.108,0.644,9.16490053826278e-08,"DHCR24"
"NAPSA",3.11849830581171e-12,-5.8056470568028,0.169,0.712,9.24135787944242e-08,"NAPSA"
"EGFR",3.1601681555328e-12,-4.31022725258358,0.012,0.508,9.36484231210591e-08,"EGFR"
"MAOA",3.1601681555328e-12,-3.96730476634387,0.012,0.508,9.36484231210591e-08,"MAOA"
"WNT7B",3.24084829156292e-12,-4.10736659783224,0.024,0.542,9.60392982721755e-08,"WNT7B"
"SEZ6L2",3.50846737778361e-12,-4.22941268891904,0.036,0.542,1.0396992227324e-07,"SEZ6L2"
"MYH14",3.71814304315691e-12,-3.5737115485689,0.012,0.508,1.10183450940912e-07,"MYH14"
"TREM1",3.81766628825552e-12,-5.3664348702549,0.108,0.644,1.13132722786164e-07,"TREM1"
"KITLG",3.87208703154437e-12,-3.43457825996048,0.012,0.508,1.14745427092786e-07,"KITLG"
"PCGF2",4.03227500639465e-12,-3.47796280016914,0.012,0.508,1.19492437539499e-07,"PCGF2"
"EPHB4",4.19895475659271e-12,-3.27524438465364,0.012,0.508,1.24431825256868e-07,"EPHB4"
"AGR3",4.47444794068155e-12,-5.59559021730619,0,0.475,1.32595790274157e-07,"AGR3"
"CLEC5A",4.47444794068155e-12,-5.28647680670288,0,0.475,1.32595790274157e-07,"CLEC5A"
"ESRP1",4.47444794068155e-12,-3.83896871966641,0,0.475,1.32595790274157e-07,"ESRP1"
"MECOM",4.47444794068155e-12,-4.12585938784083,0,0.475,1.32595790274157e-07,"MECOM"
"SFTPD",4.47444794068155e-12,-4.90084132869643,0,0.475,1.32595790274157e-07,"SFTPD"
"TMEM92",4.47444794068155e-12,-4.15357799860303,0,0.475,1.32595790274157e-07,"TMEM92"
"CTSE",5.54906949352297e-12,-6.23162134583321,0.012,0.492,1.6444112537106e-07,"CTSE"
"ANGPTL4",5.77993200201539e-12,-4.43652699534614,0.012,0.492,1.71282504947724e-07,"ANGPTL4"
"PLS3",6.72504168813288e-12,-5.00468139905378,0.072,0.61,1.9928988538613e-07,"PLS3"
