"","number_in_list","fold_enrichment","fdr","expected","number_in_reference","pValue","plus_minus","term.id","term.label"
"1",153,2.67818443791786,2.11368086295547e-26,57.1282536907537,1769,1.38665673617757e-30,"+","GO:0009888","tissue development"
"2",110,3.06588252810243,1.41350086099915e-22,35.8787393162393,1111,1.85462292330795e-26,"+","GO:0060429","epithelium development"
"3",168,2.32344326649585,1.08589194446889e-22,72.3064782439782,2239,2.13716186669729e-26,"+","GO:0009653","anatomical structure morphogenesis"
"4",97,3.33367937045722,1.85258367024996e-22,29.0969794094794,901,4.861467349603e-26,"+","GO:0016477","cell migration"
"5",107,3.06503168188742,3.12826031011446e-22,34.9099164724165,1081,1.02613012862116e-25,"+","GO:0048870","cell motility"
"6",290,1.71668322018964,9.95968271500989e-22,168.93040986791,5231,3.92036320212946e-25,"+","GO:0048856","anatomical structure development"
"7",307,1.6564526842459,3.86684111633386e-21,185.33581002331,5739,1.77575856552759e-24,"+","GO:0032502","developmental process"
"8",93,3.18208116977527,3.21553046425093e-20,29.2261557886558,905,1.6876102941683e-23,"+","GO:0035295","tube development"
"9",235,1.83573970243469,5.85935778416325e-20,128.013791763792,3964,3.45956964229281e-23,"+","GO:0007275","multicellular organism development"
"10",188,2.02910343128648,1.95187575544792e-19,92.651757964258,2869,1.28050630154689e-22,"+","GO:0048513","animal organ development"
"11",78,3.53114364859517,2.13332569096357e-19,22.0891608391608,684,1.53949895693756e-22,"+","GO:0035239","tube morphogenesis"
"12",94,3.0447163934942,2.86206326997123e-19,30.8731546231546,956,2.25314959257723e-22,"+","GO:0007155","cell adhesion"
"13",93,2.96579140952278,2.8527892406062e-18,31.357566045066,971,2.43300269814869e-21,"+","GO:0048646","anatomical structure formation involved in morphogenesis"
"14",212,1.85128811877409,6.33433721625918e-18,114.51486013986,3546,5.81779971315545e-21,"+","GO:0048731","system development"
"15",333,1.52875948210036,6.54364570396427e-18,217.823669386169,6745,6.43932858095284e-21,"+","GO:0032501","multicellular organismal process"
"16",186,1.94186342457628,2.92228882127251e-17,95.7842851592852,2966,3.06741593783115e-20,"+","GO:0051239","regulation of multicellular organismal process"
"17",214,1.81351901922293,4.19635806710411e-17,118.002622377622,3654,4.68005557572458e-20,"+","GO:0030154","cell differentiation"
"18",214,1.81203130878879,4.22027499444187e-17,118.099504662005,3657,4.98359574230491e-20,"+","GO:0048869","cellular developmental process"
"19",67,3.61442980272982,4.27072957160784e-17,18.5368104118104,574,5.32335248051886e-20,"+","GO:0048729","tissue morphogenesis"
"20",59,3.94591662742169,1.11365375302432e-16,14.9521658896659,463,1.46120022702135e-19,"+","GO:0002009","morphogenesis of an epithelium"
"21",160,2.02388323750553,4.52399584671759e-16,79.055944055944,2448,6.23262564987662e-19,"+","GO:0050793","regulation of developmental process"
"22",86,2.83300591905295,1.16773691238303e-15,30.3564491064491,940,1.68537768631022e-18,"+","GO:0030334","regulation of cell migration"
"23",89,2.75592180451128,1.54210754585235e-15,32.2940947940948,1000,2.32686961586328e-18,"+","GO:2000145","regulation of cell motility"
"24",91,2.70427315890494,1.99386139868794e-15,33.6504467754468,1042,3.13932123391134e-18,"+","GO:0040012","regulation of locomotion"
"25",68,3.27472491493119,3.39803226542221e-15,20.765102952603,643,5.57310284298074e-18,"+","GO:0030855","epithelial cell differentiation"
"26",75,2.94348037393865,2.34786289489103e-14,25.4800407925408,789,4.0047520348466e-17,"+","GO:0030155","regulation of cell adhesion"
"27",53,3.81666724951915,2.73803809993633e-14,13.8864607614608,430,4.84990019669888e-17,"+","GO:0009611","response to wounding"
"28",367,1.38893996173519,1.82883156911163e-13,264.230283605284,8182,3.35939670242902e-16,"+","GO:0050896","response to stimulus"
"29",51,3.66412085899203,5.55250795355562e-13,13.9187548562549,431,1.05637165028612e-15,"+","GO:0048514","blood vessel morphogenesis"
"30",135,2.01074113856069,6.63800379594557e-13,67.1394230769231,2079,1.30643648808218e-15,"+","GO:0007166","cell surface receptor signaling pathway"
"31",117,2.16166669657437,7.17277163541345e-13,54.1249028749029,1676,1.45874119725656e-15,"+","GO:0042127","regulation of cell population proliferation"
"32",45,4.03896698267408,7.01564183866713e-13,11.1414627039627,345,1.47281072516793e-15,"+","GO:0006935","chemotaxis"
"33",45,4.01568763407077,8.45810089073366e-13,11.2060508935509,347,1.83111808301654e-15,"+","GO:0042330","taxis"
"34",140,1.96427634559893,1.11838687080485e-12,71.2730672105672,2207,2.49459775683034e-15,"+","GO:0007399","nervous system development"
"35",78,2.60269639616282,3.67045557242116e-12,29.96891996892,928,8.42786492388249e-15,"+","GO:0072359","circulatory system development"
"36",45,3.78653154625695,6.90494052948484e-12,11.8842268842269,368,1.63076729686711e-14,"+","GO:0040011","locomotion"
"37",73,2.67511856564488,6.81161338421281e-12,27.2885101010101,845,1.65341268264695e-14,"+","GO:0022603","regulation of anatomical structure morphogenesis"
"38",56,3.18761609907121,7.18108317620484e-12,17.5679875679876,544,1.79020639438289e-14,"+","GO:0098609","cell-cell adhesion"
"39",141,1.90660406474702,8.33487654064158e-12,73.9534770784771,2290,2.13252105940446e-14,"+","GO:0009605","response to external stimulus"
"40",292,1.45602266535905,1.02958469736519e-11,200.546328671329,6210,2.70179019186562e-14,"+","GO:0048518","positive regulation of biological process"
"41",58,3.07007518796993,1.14598555920607e-11,18.8920454545455,585,3.08242523961482e-14,"+","GO:0040017","positive regulation of locomotion"
"42",56,3.14712006877448,1.11929660797329e-11,17.7940462315462,551,3.08406859114859e-14,"+","GO:0001944","vasculature development"
