"","number_in_list","fold_enrichment","fdr","expected","number_in_reference","pValue","plus_minus","term.id","term.label"
"1",114,2.32101450851587,8.65358530412146e-15,49.116452991453,2966,5.67708804311583e-19,"+","GO:0051239","regulation of multicellular organismal process"
"2",59,3.7268187339722,1.08364080571003e-14,15.8311965811966,956,1.42182090888936e-18,"+","GO:0007155","cell adhesion"
"3",57,3.82027138305109,9.6902914544337e-15,14.920405982906,901,1.90716226223848e-18,"+","GO:0016477","cell migration"
"4",59,3.56283870967742,4.48660000264289e-14,16.5598290598291,1000,1.17735354002306e-17,"+","GO:2000145","regulation of cell motility"
"5",56,3.59752916952642,1.78025479858693e-13,15.5662393162393,940,5.83958144258653e-17,"+","GO:0030334","regulation of cell migration"
"6",59,3.41923100736796,2.00648164392233e-13,17.2553418803419,1042,7.89797931085349e-17,"+","GO:0040012","regulation of locomotion"
"7",60,3.35173525111157,2.27862772299763e-13,17.9011752136752,1081,1.04640779774214e-16,"+","GO:0048870","cell motility"
"8",42,4.44957555178268,9.22161184709828e-13,9.43910256410256,570,4.83978841283122e-16,"+","GO:2000147","positive regulation of cell motility"
"9",90,2.42735091990952,1.41871896697862e-12,37.0774572649573,2239,8.37661267651225e-16,"+","GO:0009653","anatomical structure morphogenesis"
"10",42,4.33548387096774,1.837325872643e-12,9.6875,585,1.20535712959588e-15,"+","GO:0040017","positive regulation of locomotion"
"11",40,4.44840491890929,3.57211740528034e-12,8.99198717948718,543,2.57779252496777e-15,"+","GO:0030335","positive regulation of cell migration"
"12",71,2.75368264031326,3.94744505967646e-12,25.7836538461538,1557,3.10761272165043e-15,"+","GO:0044419","biological process involved in interspecies interaction between organisms"
"13",92,2.26944971537002,2.03536424332691e-11,40.5384615384615,2448,1.73586138970346e-14,"+","GO:0050793","regulation of developmental process"
"14",38,4.24160753681951,6.62294027618237e-11,8.95886752136752,541,6.08286845545845e-14,"+","GO:0034330","cell junction organization"
"15",38,4.21821631878558,7.35221044206981e-11,9.00854700854701,544,7.23500338719722e-14,"+","GO:0098609","cell-cell adhesion"
"16",87,2.29418227919425,8.58810120743775e-11,37.9220085470085,2290,9.01460469192442e-14,"+","GO:0009605","response to external stimulus"
"17",149,1.72006832715634,1.2968776061573e-10,86.6244658119658,5231,1.44636353110766e-13,"+","GO:0048856","anatomical structure development"
"18",202,1.49085719242081,2.60234865499871e-10,135.492521367521,8182,3.07303521550724e-13,"+","GO:0050896","response to stimulus"
"19",111,1.96050533545934,2.80903305511848e-10,56.6180555555556,3419,3.50138608195572e-13,"+","GO:0006950","response to stress"
"20",45,3.44413099472587,3.3189793667077e-10,13.0657051282051,789,4.35475873083736e-13,"+","GO:0030155","regulation of cell adhesion"
"21",20,8.05161290322581,5.16975699926772e-10,2.48397435897436,150,7.12227888110098e-13,"+","GO:0030595","leukocyte chemotaxis"
"22",157,1.65199062442035,5.21551379759174e-10,95.036858974359,5739,7.52747513921264e-13,"+","GO:0032502","developmental process"
"23",17,10.1641648035771,5.35051662915571e-10,1.67254273504274,101,8.07333743164609e-13,"+","GO:0097530","granulocyte migration"
"24",37,3.98274969811972,5.69246297121551e-10,9.2900641025641,561,8.96274429634405e-13,"+","GO:0006954","inflammatory response"
"25",50,3.10953124480914,5.48904247666748e-10,16.079594017094,971,9.00256261344139e-13,"+","GO:0048646","anatomical structure formation involved in morphogenesis"
"26",16,11.1056729699666,5.39718564137742e-10,1.44070512820513,87,9.20598482423492e-13,"+","GO:0071621","granulocyte chemotaxis"
"27",41,3.59342665855143,7.71924867362062e-10,11.4097222222222,689,1.36731427007647e-12,"+","GO:0009617","response to bacterium"
"28",23,6.46001500375094,8.06941857935458e-10,3.56036324786325,215,1.48227855554634e-12,"+","GO:0060326","cell chemotaxis"
"29",16,10.5021037868163,1.19515812060205e-09,1.52350427350427,92,2.27380341779567e-12,"+","GO:1990266","neutrophil migration"
"30",61,2.62365591397849,1.64248537179878e-09,23.25,1404,3.23260258177285e-12,"+","GO:2000026","regulation of multicellular organismal development"
"31",24,5.84391259105099,2.07173520381871e-09,4.10683760683761,248,4.21333013962998e-12,"+","GO:0050900","leukocyte migration"
"32",15,11.1827956989247,2.053265419009e-09,1.34134615384615,81,4.31046994740458e-12,"+","GO:0030593","neutrophil chemotaxis"
"33",65,2.5258438161664,2.24232950241024e-09,25.7339743589744,1554,4.85448229216939e-12,"+","GO:1901700","response to oxygen-containing compound"
"34",60,2.62172634330797,2.32775465563384e-09,22.8856837606838,1382,5.19213135810211e-12,"+","GO:0051707","response to other organism"
"35",60,2.61604751368348,2.47388522194534e-09,22.9353632478632,1385,5.68037674788997e-12,"+","GO:0043207","response to external biotic stimulus"
"36",61,2.5777557055464,2.87335176340749e-09,23.6639957264957,1429,6.78610926213145e-12,"+","GO:0009607","response to biotic stimulus"
"37",31,4.35348837209302,3.02471157614185e-09,7.1207264957265,430,7.34201458487493e-12,"+","GO:0009611","response to wounding"
"38",64,2.46792732665925,5.53607090698108e-09,25.9326923076923,1566,1.38011345840898e-11,"+","GO:0045595","regulation of cell differentiation"
"39",18,7.8199118124855,6.62063237190602e-09,2.30181623931624,139,1.69392286626212e-11,"+","GO:0097529","myeloid leukocyte migration"
"40",60,2.50915914574211,1.72029310930115e-08,23.9123931623932,1444,4.5143163663351e-11,"+","GO:0006952","defense response"
"41",170,1.52198761328583,1.74534747606287e-08,111.696047008547,6745,4.69456448983648e-11,"+","GO:0032501","multicellular organismal process"
"42",110,1.81789289686954,2.29322669718126e-08,60.5096153846154,3654,6.31867226147168e-11,"+","GO:0030154","cell differentiation"
"43",110,1.81640159834873,2.29990793487006e-08,60.5592948717949,3657,6.48796439017336e-11,"+","GO:0048869","cellular developmental process"
"44",84,2.05614759993201,2.34839400319452e-08,40.8530982905983,2467,6.77880575612143e-11,"+","GO:0010033","response to organic substance"
"45",38,3.35483870967742,2.45832747338121e-08,11.3269230769231,684,7.25741234023188e-11,"+","GO:0035239","tube morphogenesis"
"46",26,4.63145874964316,3.33398513690611e-08,5.61378205128205,339,1.0061229173895e-10,"+","GO:0002237","response to molecule of bacterial origin"
"47",56,2.52930248268874,3.84089456952973e-08,22.1404914529915,1337,1.18429472392506e-10,"+","GO:0051094","positive regulation of developmental process"
"48",67,2.28713142106895,3.97097257593853e-08,29.2943376068376,1769,1.25045387158072e-10,"+","GO:0009888","tissue development"
"49",64,2.33945169100992,3.96434326676386e-08,27.3568376068376,1652,1.27437394260598e-10,"+","GO:0051240","positive regulation of multicellular organismal process"
"50",26,4.55091164095372,4.50283934754748e-08,5.71314102564103,345,1.47701874550531e-10,"+","GO:0006935","chemotaxis"
"51",26,4.52468160267733,5.00770471560202e-08,5.74626068376068,347,1.67547687788298e-10,"+","GO:0042330","taxis"
"52",57,2.44464809384164,9.19791162026015e-08,23.3162393162393,1408,3.13777736832335e-10,"+","GO:0050790","regulation of catalytic activity"
