"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"KRT19",2.5043423082317e-31,8.04023399644716,0.805,0,7.42136799621382e-27,"KRT19"
"SFTA3",1.01633070314059e-30,6.75772758403719,0.793,0,3.01179440568681e-26,"SFTA3"
"EPCAM",2.45767045730207e-29,7.05817622954548,0.805,0.033,7.28306063316895e-25,"EPCAM"
"WFDC2",5.8302368571238e-28,7.7305096662688,0.768,0.025,1.72773239024007e-23,"WFDC2"
"AGR2",3.43739270328832e-27,7.5218471212923,0.72,0,1.01863695369246e-22,"AGR2"
"NKX2-1",3.43739270328832e-27,6.07741100728168,0.72,0,1.01863695369246e-22,"NKX2-1"
"CLDN4",1.27293350590873e-26,7.1655229667399,0.707,0,3.77221115140994e-22,"CLDN4"
"AP1M2",1.75697416567001e-26,5.11318577493544,0.72,0.008,5.2066172425465e-22,"AP1M2"
"TMEM54",1.76353802461721e-26,5.682819752719,0.768,0.042,5.22606858215064e-22,"TMEM54"
"TREM1",2.10434854797205e-25,6.54597559534605,0.78,0.075,6.23602648706038e-21,"TREM1"
"TNNT1",2.16058466632217e-25,5.59859603176062,0.72,0.025,6.40267660017912e-21,"TNNT1"
"RNASE1",4.07139349846106e-25,6.4920528603697,0.817,0.117,1.20651674933395e-20,"RNASE1"
"KRT7",5.58837447443539e-25,7.3310036772341,0.756,0.075,1.65605889175418e-20,"KRT7"
"OSMR",6.90649223118181e-25,5.61739127425437,0.683,0.008,2.04666990778842e-20,"OSMR"
"MUC1",7.77109124139675e-25,6.25938276152073,0.744,0.05,2.30288517847551e-20,"MUC1"
"CCL2",8.20784163577743e-25,6.13355383533158,0.829,0.158,2.43231179034628e-20,"CCL2"
"CRABP2",1.62353299265302e-24,5.53946289371261,0.732,0.042,4.81117767042796e-20,"CRABP2"
"SFN",2.11376306067543e-24,5.98994840104212,0.659,0,6.26392545400556e-20,"SFN"
"IFI27",5.46111109911559e-24,4.27302236998407,0.963,0.342,1.61834566311191e-19,"IFI27"
"MAL2",6.5888431183868e-24,6.60639334795348,0.671,0.017,1.95253776970275e-19,"MAL2"
"S100A14",7.35994386515635e-24,7.00354487638695,0.646,0,2.18104576500043e-19,"S100A14"
"SLC34A2",7.35994386515635e-24,7.08084929985569,0.646,0,2.18104576500043e-19,"SLC34A2"
"GOLM1",7.7411868070057e-24,5.25516423520995,0.78,0.092,2.29402329838807e-19,"GOLM1"
"CEACAM6",7.85881704567641e-24,7.39196557155777,0.659,0.008,2.32888184331575e-19,"CEACAM6"
"YAP1",9.03913572105569e-24,5.53086081971122,0.695,0.025,2.67865747957764e-19,"YAP1"
"SMIM22",1.01317225093025e-23,6.47190731139544,0.683,0.025,3.00243464840669e-19,"SMIM22"
"ELF3",1.70707032251526e-23,6.27960113058915,0.707,0.05,5.05873219374172e-19,"ELF3"
"CXCL1",1.85982891989765e-23,6.189915801074,0.744,0.083,5.51141702122471e-19,"CXCL1"
"KRT8",2.26290300050369e-23,6.27989662095454,0.78,0.133,6.70588675169262e-19,"KRT8"
"SFTA2",2.50916612657927e-23,6.6612355304802,0.707,0.058,7.43566289950502e-19,"SFTA2"
"SLPI",2.5739034307151e-23,6.19852766637859,0.695,0.042,7.62750542658112e-19,"SLPI"
"TNFRSF12A",3.30271589387735e-23,4.62338469088357,0.89,0.225,9.78726827991615e-19,"TNFRSF12A"
"PDZK1IP1",3.35364875742249e-23,6.14888035327115,0.646,0.008,9.93820272774579e-19,"PDZK1IP1"
"CXCL17",8.60975917734358e-23,6.98656995670078,0.622,0,2.551416034614e-18,"CXCL17"
