"","number_in_list","fold_enrichment","fdr","expected","number_in_reference","pValue","plus_minus","term.id","term.label"
"1",677,1.65324584826191,9.02661202801019e-48,409.497474747475,5231,5.92180806141192e-52,"+","GO:0048856","anatomical structure development"
"2",713,1.58703606900157,1.19585181967961e-44,449.265151515152,5739,1.56905047520777e-48,"+","GO:0032502","developmental process"
"3",367,2.0938495007852,4.28790686502781e-43,175.275252525253,2239,8.4391003051128e-47,"+","GO:0009653","anatomical structure morphogenesis"
"4",543,1.74984538263728,5.6254823576937e-43,310.313131313131,3964,1.47621396252541e-46,"+","GO:0007275","multicellular organism development"
"5",492,1.77239233666285,2.76361831344148e-39,277.590909090909,3546,9.06520472820795e-43,"+","GO:0048731","system development"
"6",303,2.18800488703295,2.54664681248317e-38,138.482323232323,1769,1.00241952862947e-41,"+","GO:0009888","tissue development"
"7",195,2.7646700798396,1.78432359163822e-37,70.5328282828283,901,8.19409902346488e-41,"+","GO:0016477","cell migration"
"8",218,2.57610933723255,2.50127717314249e-37,84.6237373737374,1081,1.31274797514531e-40,"+","GO:0048870","cell motility"
"9",424,1.82611532856242,8.97851041696738e-36,232.186868686869,2966,5.3012263827794e-39,"+","GO:0051239","regulation of multicellular organismal process"
"10",412,1.83442584243133,3.97984554035534e-35,224.593434343434,2869,2.61093324172101e-38,"+","GO:0048513","animal organ development"
"11",763,1.44502737989909,1.57355939096518e-33,528.017676767677,6745,1.13554768094318e-36,"+","GO:0032501","multicellular organismal process"
"12",192,2.56552841139155,2.62956571580562e-32,74.8383838383838,956,2.07011668238978e-35,"+","GO:0007155","cell adhesion"
"13",356,1.85768500948767,1.37120206637557e-30,191.636363636364,2448,1.16943035248196e-33,"+","GO:0050793","regulation of developmental process"
"14",475,1.65921299849162,2.27971366931364e-30,286.280303030303,3657,2.09381298762652e-33,"+","GO:0048869","cellular developmental process"
"15",207,2.38007026509103,2.72466156214634e-30,86.9722222222222,1111,2.68122570571378e-33,"+","GO:0060429","epithelium development"
"16",474,1.65707929445416,4.18118037312978e-30,286.045454545455,3654,4.38882673817992e-33,"+","GO:0030154","cell differentiation"
