"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"SFTA3",2.17739142888603e-37,6.24931787317485,0.974,0,6.45248176036085e-33,"SFTA3"
"NKX2-1",1.09859709048609e-34,5.7796963444999,0.922,0,3.25558261794648e-30,"NKX2-1"
"EPCAM",1.62708857827603e-33,6.38879438033932,0.961,0.082,4.82171429286318e-29,"EPCAM"
"VCAN",1.87608345066607e-32,6.88892360046339,0.909,0.036,5.55958569770383e-28,"VCAN"
"AP1M2",2.40203726739363e-32,4.68555770694914,0.896,0.018,7.11819723819427e-28,"AP1M2"
"RAI14",1.1330255904983e-31,4.67090140624555,0.961,0.118,3.35760803488267e-27,"RAI14"
"TMEM54",1.329595719327e-31,5.15172715722702,0.935,0.1,3.94012395465364e-27,"TMEM54"
"GOLM1",1.35200388887162e-31,5.35043409562283,0.935,0.073,4.00652832428214e-27,"GOLM1"
"CRABP2",1.42856902523579e-31,5.27535143225264,0.922,0.055,4.23342144938375e-27,"CRABP2"
"KRT19",1.84117390602106e-31,7.66985995756961,0.857,0,5.45613475310282e-27,"KRT19"
"CXCL1",3.74553919355826e-31,6.10931876550015,0.909,0.055,1.10995308461906e-26,"CXCL1"
"MALL",4.6429212196476e-31,5.9451464934465,0.883,0.036,1.37588327423037e-26,"MALL"
"VWA1",5.72816206042264e-31,5.12080544479468,0.883,0.027,1.69748354498565e-26,"VWA1"
"PCGF2",6.11339118981461e-31,4.27640933266705,0.857,0.009,1.81164234518966e-26,"PCGF2"
"MYH14",7.76329692432318e-31,4.24552869116295,0.844,0,2.30057541055393e-26,"MYH14"
"YAP1",8.56966170756463e-31,4.92235611163449,0.883,0.027,2.5395335504197e-26,"YAP1"
"WFDC2",1.45475014409867e-30,7.3226977036127,0.87,0.036,4.31100657702199e-26,"WFDC2"
"FOXA1",1.55096532330991e-30,4.18820566473119,0.87,0.018,4.5961306390966e-26,"FOXA1"
"CLDN3",1.75838688553348e-30,4.91888642989999,0.909,0.082,5.21080369658992e-26,"CLDN3"
"SHROOM3",2.0553070066185e-30,3.90887681594597,0.883,0.027,6.09069678341325e-26,"SHROOM3"
"VSTM2L",2.18008503856246e-30,4.18933916130187,0.844,0.009,6.46046400327601e-26,"VSTM2L"
"PDZK1IP1",3.22493595264091e-30,5.97106621187865,0.831,0,9.55677520205606e-26,"PDZK1IP1"
"MUC1",3.57164489545246e-30,6.2935077351275,0.883,0.055,1.05842124831838e-25,"MUC1"
"DDAH1",5.60058466353739e-30,4.60751729571634,0.896,0.055,1.65967725919267e-25,"DDAH1"
"PPIC",9.09330965466001e-30,4.98390556818471,0.948,0.136,2.69471138306195e-25,"PPIC"
"TNNT1",9.22775878084662e-30,5.75766137412956,0.831,0.009,2.73455403711609e-25,"TNNT1"
"ANGPTL4",9.9168541619796e-30,5.34973303905126,0.844,0.018,2.93876056236103e-25,"ANGPTL4"
"AGR2",1.32003639721115e-29,7.18839743837065,0.818,0,3.91179585949554e-25,"AGR2"
"SLC34A2",1.32003639721115e-29,6.75707722409858,0.818,0,3.91179585949554e-25,"SLC34A2"
"PKP3",1.46712545110142e-29,5.30384338752206,0.87,0.036,4.34767956179394e-25,"PKP3"
"SFN",1.75408829550713e-29,5.68608153634043,0.844,0.027,5.19806525490581e-25,"SFN"
"TREM1",2.16487496954355e-29,5.2947560920422,0.909,0.118,6.41539048474536e-25,"TREM1"
"OSMR",3.25212667447657e-29,4.86437522890807,0.87,0.045,9.63735218714388e-25,"OSMR"
"CCL2",3.32223511148642e-29,5.89965870751684,0.961,0.209,9.84511152937886e-25,"CCL2"
"CEACAM6",3.44681190662949e-29,7.30710532010831,0.818,0.009,1.02142824041058e-24,"CEACAM6"
"RNASE1",4.70348351440217e-29,5.11529482038807,0.922,0.136,1.39383030465794e-24,"RNASE1"
"SPRED1",5.2289419441908e-29,3.6890849532986,0.948,0.182,1.5495446557415e-24,"SPRED1"
"S100A14",5.32484092399046e-29,6.64413347789093,0.805,0,1.57796335941533e-24,"S100A14"
"VEGFA",6.3195778864362e-29,5.40634229305446,0.935,0.209,1.8727437108665e-24,"VEGFA"
"PLOD2",7.06986277664646e-29,5.32355094877562,0.831,0.018,2.09508313523141e-24,"PLOD2"
"FAM129B",7.68011738759523e-29,4.78082380566799,0.948,0.155,2.27592598663997e-24,"FAM129B"
"PCDH7",9.24497657599731e-29,4.0811543328896,0.818,0.009,2.73965635853104e-24,"PCDH7"
"CRNDE",1.0088775322625e-28,5.18659892838976,0.896,0.1,2.9897076791067e-24,"CRNDE"
"SFTA2",1.30405210186535e-28,6.45701969826645,0.857,0.073,3.86442799866777e-24,"SFTA2"
"MAL2",1.41692241939345e-28,6.66517697698192,0.805,0.009,4.19890789763054e-24,"MAL2"
"DSG2",1.63273423253995e-28,4.416482141626,0.87,0.055,4.8384446247089e-24,"DSG2"
"SMIM22",1.80269913659761e-28,6.23572411830245,0.818,0.027,5.34211862139337e-24,"SMIM22"
"GLIS2",2.27603955404371e-28,3.01344210841302,0.857,0.027,6.74481561445312e-24,"GLIS2"
"KIAA1522",2.61136615383969e-28,4.35966426987531,0.857,0.064,7.73852246028853e-24,"KIAA1522"
"TJP1",2.71028005775923e-28,4.15312016460155,0.896,0.082,8.0316439231637e-24,"TJP1"
"KRT7",3.35496450148131e-28,7.03003300001655,0.831,0.045,9.94210180368971e-24,"KRT7"
"FXYD3",3.90151957519377e-28,6.47218577959414,0.818,0.036,1.15617631091292e-23,"FXYD3"
"TEAD1",5.09894945867398e-28,3.72316007258677,0.818,0.018,1.51102268258345e-23,"TEAD1"
"FKBP9",5.22728463672433e-28,4.21221752187459,0.896,0.109,1.54905352924689e-23,"FKBP9"
"CLDN4",5.33824539003403e-28,6.60222310283702,0.792,0.009,1.58193563888268e-23,"CLDN4"
"SPP1",5.42337452504084e-28,5.51990536571323,1,0.318,1.6071628067506e-23,"SPP1"
"EMP2",5.87937144315142e-28,4.20121993840611,0.961,0.236,1.74229293346349e-23,"EMP2"
"CMTM4",6.26100095376849e-28,3.23455923973683,0.805,0.009,1.85538502263975e-23,"CMTM4"
"C19orf33",6.61033398943847e-28,6.05051248770655,0.896,0.136,1.95890637443019e-23,"C19orf33"
"TNFRSF12A",6.72681923049926e-28,5.09146172371036,0.948,0.255,1.99342561076615e-23,"TNFRSF12A"
"MMP14",1.06981839902087e-27,4.98168127600775,0.922,0.155,3.17029984365844e-23,"MMP14"
"SLPI",1.18433927421869e-27,6.46855490652855,0.831,0.055,3.50967100521966e-23,"SLPI"
"DCBLD2",1.27143635470046e-27,4.60633397350844,0.883,0.109,3.76777449351935e-23,"DCBLD2"
"EGFR",1.46699894104946e-27,4.69609244605594,0.792,0.009,4.34730466190596e-23,"EGFR"
"RND3",1.68476839727925e-27,4.75944392279342,0.883,0.091,4.99264266849732e-23,"RND3"
"GPRC5A",1.84545940870127e-27,5.49685013557962,0.818,0.045,5.46883441174535e-23,"GPRC5A"
"BOK",2.08097740072588e-27,3.79627548234504,0.831,0.027,6.16676842931108e-23,"BOK"
"AGRN",3.13375943459666e-27,3.73995059520921,0.909,0.164,9.28658270848373e-23,"AGRN"
"TMC5",3.18968632334901e-27,5.68408555295342,0.792,0.018,9.45231645061246e-23,"TMC5"
"PRSS8",3.20670072105357e-27,5.04500563867928,0.766,0,9.50273691677016e-23,"PRSS8"
"SGMS2",3.22309546273057e-27,4.23439156999078,0.857,0.082,9.55132109425577e-23,"SGMS2"
"S100A8",3.45039272874369e-27,6.06003694733679,0.922,0.227,1.0224893812359e-22,"S100A8"
"TFAP2A",5.42975236697514e-27,4.20213109191313,0.792,0.018,1.60905281642941e-22,"TFAP2A"
"ADM",6.2430086202475e-27,5.07535032408698,0.961,0.245,1.85005317452414e-22,"ADM"
"STEAP1",7.94772168398288e-27,4.22503530813824,0.818,0.036,2.35522784383149e-22,"STEAP1"
"MDFI",8.45474757397148e-27,4.30881405701901,0.805,0.027,2.50547989607071e-22,"MDFI"
"CD276",9.40293203016771e-27,4.15820603849708,0.935,0.173,2.7864648778199e-22,"CD276"
"RHBDF1",9.95169698267035e-27,3.40190834548013,0.792,0.027,2.94908588384453e-22,"RHBDF1"
"AQP9",1.01964395816476e-26,5.4949262287372,0.831,0.073,3.02161290562544e-22,"AQP9"
"C1orf116",1.22195424180976e-26,4.15330878947229,0.753,0,3.62113920017905e-22,"C1orf116"
