"","number_in_list","fold_enrichment","fdr","expected","number_in_reference","pValue","plus_minus","term.id","term.label"
"1",1011,1.57367895063034,2.37848005713456e-62,642.443618881119,5231,1.56037529169754e-66,"+","GO:0048856","anatomical structure development"
"2",813,1.66996204272617,5.20923098226084e-58,486.837412587413,3964,6.83491567573422e-62,"+","GO:0007275","multicellular organism development"
"3",1060,1.50390132073799,1.25911152391226e-55,704.833479020979,5739,2.47807818128766e-59,"+","GO:0032502","developmental process"
"4",737,1.6923042955523,1.1171283551317e-53,435.500874125874,3546,2.9315183497519e-57,"+","GO:0048731","system development"
"5",528,1.92012511940543,6.17223438239281e-53,274.98208041958,2239,2.02461273449872e-56,"+","GO:0009653","anatomical structure morphogenesis"
"6",636,1.74596554545825,1.21232375574022e-49,364.268356643357,2966,4.77198880433073e-53,"+","GO:0051239","regulation of multicellular organismal process"
"7",436,2.00681970431854,8.8761478776224e-48,217.259178321678,1769,4.07616841457435e-51,"+","GO:0009888","tissue development"
"8",599,1.6999884642435,3.49444704137439e-42,352.355332167832,2869,1.83399437978056e-45,"+","GO:0048513","animal organ development"
"9",266,2.40384547023671,3.13861878353595e-42,110.656031468531,901,1.85315023629362e-45,"+","GO:0016477","cell migration"
"10",531,1.76617123717815,1.41220243698593e-41,300.65034965035,2448,9.2645964507376e-45,"+","GO:0050793","regulation of developmental process"
"11",274,2.33368573087747,4.46831571151536e-41,117.410839160839,956,3.22452750945804e-44,"+","GO:0007155","cell adhesion"
"12",1142,1.37858595664642,1.11113289930017e-40,828.385052447553,6745,8.74735602676776e-44,"+","GO:0032501","multicellular organismal process"
"13",295,2.22201006712514,5.53413862927872e-40,132.762674825175,1081,4.71979283478471e-43,"+","GO:0048870","cell motility"
"14",937,1.4499013270464,1.64172467551375e-39,646.250874125874,5262,1.50784920666486e-42,"+","GO:0007154","cell communication"
"15",463,1.81332730798923,1.19992288984389e-38,255.331730769231,2079,1.18079402661276e-41,"+","GO:0007166","cell surface receptor signaling pathway"
"16",912,1.45347857977235,1.3815941956412e-38,627.460227272727,5109,1.45020712000651e-41,"+","GO:0023052","signaling"
"17",258,2.32124417530131,3.30187363578648e-38,111.14729020979,905,3.68246748070394e-41,"+","GO:0035295","tube development"
"18",296,2.16933864204926,4.97651305886088e-38,136.447115384615,1111,5.87661451548224e-41,"+","GO:0060429","epithelium development"
"19",283,2.21140565979741,6.11974727207018e-38,127.972902097902,1042,7.62810458369963e-41,"+","GO:0040012","regulation of locomotion"
"20",275,2.23914590747331,7.45347943241072e-38,122.814685314685,1000,9.77954396432556e-41,"+","GO:2000145","regulation of cell motility"
"21",263,2.27812523661695,2.27260589449682e-37,115.445804195804,940,3.13092723115091e-40,"+","GO:0030334","regulation of cell migration"
"22",1307,1.30066607456173,1.32253705983341e-35,1004.86975524476,8182,1.90879848562193e-38,"+","GO:0050896","response to stimulus"
"23",694,1.54519825966289,1.8361290677236e-35,449.133304195804,3657,2.77051555190204e-38,"+","GO:0048869","cellular developmental process"
"24",693,1.54423855687814,2.43318003248956e-35,448.76486013986,3654,3.8310254398576e-38,"+","GO:0030154","cell differentiation"
"25",1047,1.37279213299637,6.52552549054758e-35,762.679195804196,6210,1.07024953922253e-37,"+","GO:0048518","positive regulation of biological process"
"26",977,1.39391532032523,2.31893172963014e-34,700.903409090909,5707,3.95540411798094e-37,"+","GO:0048522","positive regulation of cellular process"
"27",469,1.73029522693081,6.75353342219873e-34,271.05201048951,2207,1.196256658134e-36,"+","GO:0007399","nervous system development"
"28",206,2.452227841252,7.06714321325958e-34,84.0052447552448,684,1.29816971705877e-36,"+","GO:0035239","tube morphogenesis"
"29",653,1.54562608623686,5.42326301098487e-33,422.482517482517,3440,1.03178263674186e-35,"+","GO:0010646","regulation of cell communication"
"30",731,1.49474056742887,7.34798176751445e-33,489.048076923077,3982,1.4461684250176e-35,"+","GO:0048583","regulation of response to stimulus"
"31",843,1.43328461056588,2.17536407835295e-32,588.159527972028,4789,4.42408229541044e-35,"+","GO:0007165","signal transduction"
"32",649,1.53884226605621,3.8296004402195e-32,421.745629370629,3434,8.03957318684144e-35,"+","GO:0023051","regulation of signaling"
"33",1065,1.34485133738951,9.7078482555869e-32,791.909090909091,6448,2.10167940979051e-34,"+","GO:0051716","cellular response to stimulus"
"34",896,1.4008341943137,3.37853437312163e-31,639.618881118881,5208,7.53592919281869e-34,"+","GO:0048519","negative regulation of biological process"
"35",246,2.15842434654559,7.61314988279733e-31,113.972027972028,928,1.74808269958608e-33,"+","GO:0072359","circulatory system development"
"36",229,2.20662469203394,3.88715615932463e-30,103.778409090909,845,9.18045146858799e-33,"+","GO:0022603","regulation of anatomical structure morphogenesis"
"37",579,1.56054946336499,1.21391244054674e-29,371.023164335664,3021,2.94658271339167e-32,"+","GO:0009966","regulation of signal transduction"
"38",251,2.10476780367307,1.2049373502496e-29,119.253059440559,971,3.00384565436495e-32,"+","GO:0048646","anatomical structure formation involved in morphogenesis"
"39",369,1.7926770229066,5.45611778222371e-29,205.837412587413,1676,1.39597581517237e-31,"+","GO:0042127","regulation of cell population proliferation"
"40",362,1.78421927912247,5.85141229268861e-28,202.88986013986,1652,1.53550148728954e-30,"+","GO:0051240","positive regulation of multicellular organismal process"
"41",171,2.42568229444369,3.66332442720934e-27,70.4956293706294,574,9.85346070429592e-30,"+","GO:0048729","tissue morphogenesis"
"42",164,2.45919925548718,8.65584305340179e-27,66.6883741258741,543,2.3849990700182e-29,"+","GO:0030335","positive regulation of cell migration"
"43",248,2.02741213966185,1.05042357693313e-26,122.323426573427,996,2.96321024785964e-29,"+","GO:0009887","animal organ morphogenesis"
"44",169,2.41413498158207,1.1889932532889e-26,70.0043706293706,570,3.43211330740087e-29,"+","GO:2000147","positive regulation of cell motility"
"45",827,1.38896914602492,1.20092967517729e-26,595.405594405594,4848,3.5453542860971e-29,"+","GO:0048523","negative regulation of cellular process"
"46",172,2.39398971925662,1.4758361659341e-26,71.8465909090909,585,4.4537468761378e-29,"+","GO:0040017","positive regulation of locomotion"
"47",258,1.98368836510641,2.69694574866683e-26,130.060751748252,1059,8.31571542264259e-29,"+","GO:0009790","embryo development"
"48",162,2.43818946066662,4.36753644469812e-26,66.4427447552448,541,1.37533129531923e-28,"+","GO:0034330","cell junction organization"
"49",266,1.94073904003878,1.33525418482522e-25,137.061188811189,1116,4.29229515557538e-28,"+","GO:0051241","negative regulation of multicellular organismal process"
"50",163,2.40871660068074,1.401617921468e-25,67.6708916083916,551,4.59757895908943e-28,"+","GO:0001944","vasculature development"
"51",1693,1.17599355411032,1.6343340740895e-25,1439.63374125874,11722,5.46815179285998e-28,"+","GO:0050789","regulation of biological process"
"52",125,2.76574346278818,2.25041100227341e-25,45.1958041958042,368,7.67705649269943e-28,"+","GO:0040011","locomotion"
"53",120,2.8321213058951,2.24965171693382e-25,42.3710664335664,345,7.82205215492308e-28,"+","GO:0006935","chemotaxis"
"54",120,2.81579784015507,4.02287411599564e-25,42.6166958041958,347,1.42514729557019e-27,"+","GO:0042330","taxis"
"55",158,2.42734170415631,5.23715711538822e-25,65.0917832167832,530,1.88967815617891e-27,"+","GO:0001568","blood vessel development"
"56",144,2.53239356509842,6.03878216490992e-25,56.8631993006993,463,2.21853835357184e-27,"+","GO:0002009","morphogenesis of an epithelium"
"57",465,1.58484393922918,2.06169838128831e-24,293.404283216783,2389,7.70955899320564e-27,"+","GO:0070887","cellular response to chemical stimulus"
"58",2054,1.11883759309854,2.04047904023552e-24,1835.83391608392,14948,7.76407428548579e-27,"+","GO:0009987","cellular process"
"59",162,2.35126648524178,4.91542130560831e-24,68.8990384615385,561,1.90257729469849e-26,"+","GO:0006954","inflammatory response"
"60",1734,1.16290525823355,7.10358405252317e-24,1491.09309440559,12141,2.79613621433701e-26,"+","GO:0065007","biological regulation"
"61",158,2.36487335147582,7.15660435652973e-24,66.8111888111888,544,2.86395634552459e-26,"+","GO:0098609","cell-cell adhesion"
